"age","gender","ahe","yrseduc"
30,"male",34.61538315,16
30,"female",19.23077011,16
30,"female",13.73626328,12
30,"female",13.94230747,13
30,"female",19.23077011,16
30,"female",8,12
30,"male",19.23077011,12
29,"male",26.15384674,16
29,"male",26.44230843,16
30,"female",6.221719265,12
29,"male",24.03846169,14
29,"male",38.46154022,18
29,"male",19.23077011,18
29,"female",10.81730747,11
29,"male",5.769230843,12
29,"male",13.5,12
30,"male",12.98076916,16
30,"male",35.47008514,13
30,"male",18.75,16
30,"female",24.03846169,16
30,"male",19.23077011,16
29,"female",15,14
29,"male",8.791209221,12
29,"male",7.692307472,13
30,"male",11.53846169,12
29,"male",28.84615326,13
29,"male",19.18367386,14
30,"male",16.82692337,12
29,"female",24.29149818,16
30,"female",10.2564106,16
30,"male",14.42307663,12
30,"male",12.98076916,13
29,"female",10.1214571,12
29,"male",17.30769157,13
30,"male",9.615385056,13
29,"female",21.97802162,16
29,"male",17.30769157,16
30,"female",5.769230843,16
29,"male",16.82692337,14
29,"female",14.42307663,13
30,"male",17.78846169,12
30,"female",32,18
29,"male",19.23077011,12
29,"male",10,9
30,"male",10,9
30,"male",10,9
30,"female",7.142857075,14
30,"male",18.75048065,16
29,"female",10.57692337,16
29,"female",7.692307472,9
29,"female",17.03296661,16
29,"male",23.07692337,18
30,"male",14.42307663,12
30,"male",14.42307663,16
30,"male",6.25,11
30,"male",22.11538506,12
29,"female",27.77777863,12
30,"male",21.63461494,16
30,"male",10.98901081,16
30,"female",14.42307663,16
30,"male",13.73626328,13
29,"male",12.98076916,12
29,"male",8.653845787,12
30,"female",8.653845787,14
30,"female",12.21955109,14
29,"female",12.5,12
30,"female",14.19413948,16
30,"female",21.63461494,16
30,"female",6.730769157,12
30,"female",17.36923027,14
29,"female",12.01923084,12
30,"male",16.82692337,13
29,"male",53.98173141,12
29,"male",9.615385056,12
30,"female",14.42307663,18
30,"male",16.82692337,13
29,"female",40.06394196,18
29,"male",28.84615326,16
29,"female",30.28846169,16
30,"female",9.615385056,14
29,"female",11.53846169,14
30,"male",21.63461494,12
30,"female",15.38461494,12
29,"male",29.9145298,16
30,"female",14.92500019,13
30,"male",14.42307663,14
30,"male",11.21794891,13
30,"female",28.63247871,18
29,"male",19.23077011,18
30,"female",19.23077011,16
29,"female",11.05769253,13
29,"female",11.53846169,16
30,"male",31.25,12
30,"male",24.03846169,14
30,"female",22.30769157,16
29,"male",16.82692337,13
30,"female",19.66783142,16
29,"male",17.18494225,13
30,"female",25,16
30,"female",28,16
29,"female",32.69230652,16
30,"male",14.00560188,12
30,"male",10.98901081,12
29,"male",14.9572649,16
29,"male",27.88461494,16
30,"female",10.09615421,13
30,"male",13.46153831,6
30,"male",2.136752129,12
29,"male",23.93162346,14
29,"female",13.35470104,13
29,"male",18.57692337,18
29,"female",17.07740402,16
30,"male",22.11538506,16
30,"male",17.94871712,16
30,"female",12.01923084,14
30,"male",11.05769253,12
30,"male",39.2628212,16
30,"female",18.81270981,18
29,"male",14.42307663,12
29,"female",16.82692337,12
30,"female",15.38461494,13
29,"female",15.38461494,13
30,"male",19.23077011,18
30,"male",19.23077011,12
29,"female",16.20192337,16
29,"female",11.53846169,13
30,"male",6.976744175,12
30,"female",20.19230843,13
29,"male",12.5,12
30,"female",6.25,12
30,"female",13.46153831,18
30,"female",12.98076916,12
29,"male",16.82692337,14
30,"male",29.4017086,16
30,"male",14.79289913,13
30,"female",18.75,13
30,"male",25,16
30,"male",14.61538506,14
30,"male",8.222596169,9
30,"male",19.95192337,16
30,"female",22.03525734,18
29,"male",21.44970322,13
29,"male",13.02083302,12
29,"female",10.57692337,13
30,"male",18.49112511,14
30,"male",3.571428537,13
29,"male",12.5,18
29,"male",6.875,12
30,"male",4.807692528,6
30,"male",8.653845787,12
29,"male",9.95192337,16
29,"female",6.224696159,13
29,"male",12.01923084,12
30,"male",17.31999969,16
30,"female",10.47403812,16
29,"female",28.6713295,16
29,"male",8.653845787,13
29,"female",16.34615326,18
30,"male",24.26739883,16
29,"female",12.01923084,13
29,"male",3.891941309,12
29,"female",21.15384674,16
29,"female",12.01923084,18
29,"female",5.494505405,13
29,"female",9.615385056,13
29,"male",12.5,14
30,"male",24.03846169,14
29,"male",10.09615421,13
30,"male",21.36752129,13
30,"male",10.98901081,12
29,"male",32.69230652,13
30,"male",8.974358559,16
29,"male",16.82692337,12
30,"female",11.05769253,13
29,"female",7.932692528,12
29,"female",20.5662384,14
30,"male",20.75961494,16
